gene_id	transcript_id	gene_name	type	strand	seqid	biotypes	description	start	end	gc	featWidth	GO BP	GO MF	GO CC
YNR005C	YNR005C_mRNA		protein_coding	-	XIV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000005288]	636931	637335	0.3852	405			GO:0016021
YNR006W	YNR006W_mRNA	VPS27	protein_coding	+	XIV	protein_coding	Endosomal protein that forms a complex with Hse1p; required for recycling Golgi proteins, forming lumenal membranes and sorting ubiquitinated proteins destined for degradation; has Ubiquitin Interaction Motifs which bind ubiquitin (Ubi4p) [Source:SGD;Acc:S000005289]	636986	638854	0.4056	1869	GO:1903319; GO:0071985; GO:1904669; GO:0009306; GO:0006886; GO:0045324; GO:0045053; GO:0006623	GO:0019904; GO:0046982; GO:0032266; GO:0043130; GO:0046872	GO:0033565; GO:0010008; GO:0005768
YNR007C	YNR007C_mRNA	ATG3	protein_coding	-	XIV	protein_coding	E2-like enzyme; involved in autophagy and cytoplasm-to-vacuole targeting (Cvt) pathway; plays a role in formation of Atg8p-phosphatidylethanolamine conjugates, which are involved in membrane dynamics during autophagy and Cvt; interaction with Atg8p regulated by acetylation by NuA4 histone acetyltransferase Esa1p while attenuation of Atg3 acetylation is mediated by histone deacetylase Rpd3p; Atg12p-Atg5p conjugate enhances E2 activity of Atg3p by rearranging its catalytic site [Source:SGD;Acc:S000005290]	639182	640114	0.3912	933	GO:0006501; GO:0006612; GO:0044805; GO:0000422; GO:0032258; GO:0034727; GO:0000045	GO:0019776	GO:0000153; GO:0061908; GO:0000407; GO:0005829
YNR008W	YNR008W_mRNA		protein_coding	+	XIV	protein_coding	Acyltransferase that catalyzes diacylglycerol esterification; one of several acyltransferases that contribute to triglyceride synthesis; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase [Source:SGD;Acc:S000005291]	640396	642381	0.4225	1986	GO:0006672; GO:0019432; GO:0019915; GO:0006629	GO:0008374; GO:0046027	GO:0097038; GO:0005811; GO:0005789; GO:0016021
YNR009W	YNR009W_mRNA		protein_coding	+	XIV	protein_coding	Transcriptional co-repressor of MBF-regulated gene expression; Nrm1p associates stably with promoters via MCB binding factor (MBF) to repress transcription upon exit from G1 phase [Source:SGD;Acc:S000005292]	642690	643439	0.4227	750	GO:0071930; GO:0006351	GO:0000989; GO:0070491	GO:0030907; GO:0005737
YNR010W	YNR010W_mRNA	CSE2	protein_coding	+	XIV	protein_coding	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; component of the Middle domain of mediator; required for regulation of RNA polymerase II activity; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000005293]	643744	644193	0.3756	450	GO:0006357; GO:0000122; GO:0045944	GO:0003712; GO:0001128; GO:0005198	GO:0070847; GO:0016592; GO:0005634; GO:0005829
YNR011C	YNR011C_mRNA	PRP2	protein_coding	-	XIV	protein_coding	RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16 [Source:SGD;Acc:S000005294]	644320	646950	0.385	2631	GO:0034247; GO:0000349	GO:0008186; GO:0003676; GO:0004386; GO:0003723; GO:0005524	GO:0005634; GO:0005737
YNR012W	YNR012W_mRNA		protein_coding	+	XIV	protein_coding	Uridine/cytidine kinase; component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP; involved in the pyrimidine deoxyribonucleotide salvage pathway, converting deoxycytidine into dCMP [Source:SGD;Acc:S000005295]	647432	648937	0.3818	1506	GO:0008655; GO:0043097; GO:0044206; GO:0006206; GO:0044211; GO:0009116	GO:0004849; GO:0016301; GO:0005524	GO:0005634; GO:0005829
YNR013C	YNR013C_mRNA		protein_coding	-	XIV	protein_coding	Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth [Source:SGD;Acc:S000005296]	649028	651712	0.4201	2685	GO:0015794; GO:2000185; GO:0006817; GO:0006814; GO:0006797; GO:0055085	GO:0015169; GO:0005315; GO:0005215	GO:0000329; GO:1990816; GO:0016020; GO:0016021
YNR014W	YNR014W_mRNA		protein_coding	+	XIV	protein_coding	Putative protein of unknown function; expression is cell-cycle regulated, Azf1p-dependent, and heat-inducible; YNR014W has a paralog, YMR206W, that arose from the whole genome duplication [Source:SGD;Acc:S000005297]	652465	653103	0.5383	639			
YNR015W	YNR015W_mRNA	SMM1	protein_coding	+	XIV	protein_coding	Dihydrouridine synthase; member of a family of dihydrouridine synthases including Dus1p, Smm1p, Dus3p, and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs [Source:SGD;Acc:S000005298]	653387	654541	0.4753	1155	GO:0055114; GO:0008033; GO:0006400	GO:0102264; GO:0017150; GO:0003824; GO:0050660	GO:0005634; GO:0005737
YNR016C	YNR016C_mRNA	ACC1	protein_coding	-	XIV	protein_coding	Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication [Source:SGD;Acc:S000005299]	654673	661374	0.4084	6702	GO:2001295; GO:0042759; GO:0006085; GO:0006633; GO:0006998; GO:0006606	GO:1905502; GO:0016743; GO:0003989; GO:0016874; GO:0004075; GO:0042803; GO:0042802; GO:0005524; GO:0046872	GO:0009317; GO:0005789
YNR017W	YNR017W_mRNA	TIM23	protein_coding	+	XIV	protein_coding	Essential component of the TIM23 complex; involved in protein import into mitochondrial matrix and inner membrane; with Tim17p, contributes to architecture and function of the import channel; TIM23 complex is short for the translocase of the inner mitochondrial membrane [Source:SGD;Acc:S000005300]	662913	663581	0.4933	669	GO:0030150; GO:0006886	GO:0030943; GO:0015450; GO:0008320	GO:0005744; GO:0031305; GO:0005758; GO:0005743
YNR018W	YNR018W_mRNA		protein_coding	+	XIV	protein_coding	Cytochrome c oxidase subunit; has a role in assembly of respiratory supercomplexes; similar to Rcf1p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity; associates with the cytochrome c oxidase - cytochrome bc1 supercomplex; null mutant accumulates reactive oxygen species; member of the conserved hypoxia induced gene family; C. elegans homolog is functional in yeast [Source:SGD;Acc:S000005301]	664270	664944	0.4726	675	GO:0033617		GO:0031305
YNR019W	YNR019W_mRNA	ARE2	protein_coding	+	XIV	protein_coding	Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication [Source:SGD;Acc:S000005302]	665339	667267	0.408	1929	GO:0008204	GO:0008374; GO:0034737	GO:0005783; GO:0005789; GO:0016021
YNR020C	YNR020C_mRNA		protein_coding	-	XIV	protein_coding	Putative metalloprotease of the mitochondrial inner membrane; required for processing of Atp6p; has an additional role in assembly of the F0 sector of the F1F0 ATP synthase complex; substrate of the Mia40p-Erv1p disulfide relay system, and folding is assisted by Mia40p [Source:SGD;Acc:S000005303]	667410	668222	0.4121	813		GO:0004222	
YNR021W	YNR021W_mRNA		protein_coding	+	XIV	protein_coding	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YNR021W is not an essential gene [Source:SGD;Acc:S000005304]	668377	669591	0.3737	1215		GO:0005509	GO:0005789; GO:0016021
YNR022C	YNR022C_mRNA		protein_coding	-	XIV	protein_coding	Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation [Source:SGD;Acc:S000005305]	669774	670193	0.4024	420	GO:0032543	GO:0003735	GO:0005762
YNR023W	YNR023W_mRNA	SNF12	protein_coding	+	XIV	protein_coding	73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog, RSC6, that arose from the whole genome duplication [Source:SGD;Acc:S000005306]	670418	672118	0.3874	1701	GO:0061412; GO:0045944; GO:0006351		GO:0016514; GO:0005634; GO:0005829
YNR024W	YNR024W_mRNA		protein_coding	+	XIV	protein_coding	Nuclear exosome-associated RNA binding protein; involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA); copurifies with ribosomes; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000005307]	672409	672969	0.3779	561	GO:0071031; GO:0071030; GO:0071039; GO:0071035; GO:0000467	GO:0008266	GO:0005634; GO:0005829
YNR025C	YNR025C_mRNA		protein_coding	-	XIV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion reduces expression of PIS1 gene encoding phosphatidylinositol synthase [Source:SGD;Acc:S000005308]	672702	673061	0.35	360			GO:0016021
YNR026C	YNR026C_mRNA	SEC12	protein_coding	-	XIV	protein_coding	Guanine nucleotide exchange factor (GEF); activates Sar1p by catalyzing the exchange of GDP for GTP; required for the initiation of COPII vesicle formation in ER to Golgi transport; glycosylated integral membrane protein of the ER; SEC12 has a paralog, SED4, that arose from the whole genome duplication [Source:SGD;Acc:S000005309]	673274	674689	0.399	1416	GO:0003400; GO:0009306; GO:0016192	GO:0051020; GO:0005090; GO:0005096; GO:0005515	GO:0030176; GO:0005794; GO:0005783
YNR027W	YNR027W_mRNA		protein_coding	+	XIV	protein_coding	Putative pyridoxal kinase; a key enzyme in vitamin B6 metabolism; involved in bud-site selection; diploid mutants display a random rather than a bipolar budding pattern; similarity to yeast BUD16 and human pyridoxal kinase (PDXK) [Source:SGD;Acc:S000005310]	674923	675876	0.4392	954	GO:0009443; GO:0042823; GO:0007049	GO:0008478; GO:0005524; GO:0046872	GO:0005634; GO:0005829
YNR028W	YNR028W_mRNA		protein_coding	+	XIV	protein_coding	Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; potential role in the secretory pathway; CPR8 has a paralog, CPR4, that arose from the whole genome duplication [Source:SGD;Acc:S000005311]	676177	677103	0.3916	927	GO:0000413	GO:0003755	
YNR029C	YNR029C_mRNA		protein_coding	-	XIV	protein_coding	Putative protein of unknown function; deletion confers reduced fitness in saline [Source:SGD;Acc:S000005312]	677199	678488	0.4023	1290		GO:0005524	
YNR030W	YNR030W_mRNA	ALG12	protein_coding	+	XIV	protein_coding	Alpha-1,6-mannosyltransferase localized to the ER; responsible for addition of alpha-1,6 mannose to dolichol-linked Man7GlcNAc2; acts in the dolichol pathway for N-glycosylation; human homolog ALG12 complements yeast null mutant [Source:SGD;Acc:S000005313]	678799	680454	0.3913	1656	GO:0006487; GO:0006488; GO:0006486	GO:0052917; GO:0000009; GO:0016757; GO:0052824	GO:0005788; GO:0005789; GO:0016021
YNR031C	YNR031C_mRNA		protein_coding	-	XIV	protein_coding	MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; interacts with Ssk1p, leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress; a HOG-independent function of Ssk2p mediates the calcium-sensitive phenotype of the ptp2 msg5 double disruptant; SSK2 has a paralog, SSK22, that arose from the whole genome duplication [Source:SGD;Acc:S000005314]	680694	685433	0.3785	4740	GO:0071474; GO:0000165; GO:0051403; GO:2000251; GO:0046777; GO:0006468; GO:0042981; GO:0007346; GO:0031098; GO:0007234	GO:0004709; GO:0003779; GO:0004672; GO:0005524	GO:0005938; GO:0000131; GO:0005934; GO:0005935; GO:0005829; GO:0005737
YNR032C-A	YNR032C-A_mRNA		protein_coding	-	XIV	protein_coding	Ubiquitin-like protein modifier; promotes alternative splicing of SRC1 pre-mRNA; binds non-covalently to the HIND domain of Snu66, may function in modification of Sph1p and Hbt1p, functionally complemented by the human or S. pombe ortholog; mechanism of Hub1p adduct formation not yet clear [Source:SGD;Acc:S000007251]	687243	687464	0.3874	222	GO:0000753; GO:0006464; GO:0000398	GO:0031386; GO:0005515	GO:0005937; GO:0005634; GO:0005737
YNR032W	YNR032W_mRNA		protein_coding	+	XIV	protein_coding	Putative serine/threonine protein phosphatase; putative phosphatase of the type 2A-like phosphatase family, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases [Source:SGD;Acc:S000005315]	686010	687116	0.4228	1107	GO:0006470; GO:0005977	GO:0016787; GO:0004722; GO:0046872	
YNR033W	YNR033W_mRNA		protein_coding	+	XIV	protein_coding	Para-aminobenzoate (PABA) synthase; has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid, an important intermediate for folate and ubiquinone Q biosynthesis; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005316]	687635	689998	0.4184	2364	GO:0008153; GO:0006541; GO:0046654; GO:0046656; GO:0009058	GO:0046820	GO:0005737
YNR034W	YNR034W_mRNA		protein_coding	+	XIV	protein_coding	Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol3p and Sol4p; SOL1 has a paralog, SOL2, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005317]	690321	691286	0.4327	966	GO:0006098; GO:0006409; GO:0009051; GO:0005975	GO:0017057	GO:0005634; GO:0005737
YNR034W-A	YNR034W-A_mRNA		protein_coding	+	XIV	protein_coding	Protein of unknown function; expression is regulated by Msn2p/Msn4p; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication [Source:SGD;Acc:S000007525]	692561	692857	0.4175	297			GO:0005829
YNR035C	YNR035C_mRNA	ARC35	protein_coding	-	XIV	protein_coding	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin [Source:SGD;Acc:S000005318]	693019	694047	0.4198	1029	GO:0006898; GO:0000226; GO:0030041; GO:0030036; GO:0034314; GO:0000001; GO:0030833	GO:0005198; GO:0051015; GO:0005200	GO:0015629; GO:0005885; GO:0030479; GO:0005829
YNR036C	YNR036C_mRNA		protein_coding	-	XIV	protein_coding	Mitochondrial protein; may interact with ribosomes based on co-purification experiments; similar to E. coli and human mitochondrial S12 ribosomal proteins [Source:SGD;Acc:S000005319]	694361	694822	0.4935	462	GO:0006412; GO:0032543	GO:0003735	GO:0015935; GO:0005761; GO:0005840; GO:0005763
YNR037C	YNR037C_mRNA		protein_coding	-	XIV	protein_coding	Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S19 ribosomal protein [Source:SGD;Acc:S000005320]	695052	695327	0.4855	276	GO:0000028; GO:0006412; GO:0032543	GO:0003723; GO:0003735	GO:0005840; GO:0005763
YNR038W	YNR038W_mRNA		protein_coding	+	XIV	protein_coding	Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family; human homolog DDX51 complements yeast dbp6 mutant [Source:SGD;Acc:S000005321]	695595	697484	0.3847	1890	GO:0010501; GO:0000466; GO:0000463	GO:0003676; GO:0003723; GO:0005524	GO:0030687; GO:0005730; GO:0005737
YNR039C	YNR039C_mRNA		protein_coding	-	XIV	protein_coding	Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Msc2p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; zinc-regulated directly through Zap1p; transcription induced under conditions of zinc deficiency [Source:SGD;Acc:S000005322]	697614	699431	0.3933	1818	GO:0061088; GO:0010043; GO:0006829	GO:0005385	GO:0000324; GO:0005783; GO:0016020; GO:0005789; GO:0016021
YNR040W	YNR040W_mRNA		protein_coding	+	XIV	protein_coding	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000005323]	699690	700460	0.4488	771			
YNR041C	YNR041C_mRNA		protein_coding	-	XIV	protein_coding	Para hydroxybenzoate polyprenyl transferase; catalyzes the second step in ubiquinone (coenzyme Q) biosynthesis; human COQ2, mutations in which are implicated in an increased risk of mutiple-system atrophy, can complement a yeast coq2 null mutant [Source:SGD;Acc:S000005324]	700541	701659	0.4745	1119	GO:0008299; GO:0006744	GO:0008412; GO:0047293; GO:0002083; GO:0016765; GO:0004659	GO:0032592; GO:0005758; GO:0005739; GO:0005743; GO:0016021
YNR042W	YNR042W_mRNA		protein_coding	+	XIV	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene COQ2 [Source:SGD;Acc:S000005325]	701238	701666	0.4895	429			
YNR043W	YNR043W_mRNA	MVD1	protein_coding	+	XIV	protein_coding	Mevalonate pyrophosphate decarboxylase; essential enzyme involved in the biosynthesis of isoprenoids and sterols, including ergosterol; acts as a homodimer [Source:SGD;Acc:S000005326]	701895	703085	0.4324	1191	GO:0008299; GO:0019287; GO:0016126	GO:0004163; GO:0016831; GO:0005524	GO:0005829
YNR044W	YNR044W_mRNA	AGA1	protein_coding	+	XIV	protein_coding	Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication [Source:SGD;Acc:S000005327]	703699	705876	0.4174	2178	GO:0000752	GO:0050839	GO:0009277; GO:0031225; GO:0005576
YNR045W	YNR045W_mRNA		protein_coding	+	XIV	protein_coding	Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane [Source:SGD;Acc:S000005328]	706139	707608	0.4163	1470	GO:0070131; GO:0097034	GO:0045182	GO:0005743
YNR046W	YNR046W_mRNA		protein_coding	+	XIV	protein_coding	Protein involved in methylation of tRNA, rRNA, and translation factors; also involved in ribosome biogenesis; subunit of tRNA methyltransferase (MTase) complexes in combination with Trm9p and Trm11p; N7-methylates G1575 of 18S rRNA as complex with Bud23p; subunit of complex with Mtq2p that methylates Sup45p (eRF1) in the ternary complex eRF1-eRF3-GTP; relative distribution to the nucleus increases upon DNA replication stress; functional homolog of human TRMT112 [Source:SGD;Acc:S000005329]	707788	708195	0.4779	408	GO:0018364; GO:0070476; GO:0030490; GO:0030488; GO:0042274; GO:0000470; GO:0042273; GO:0006400	GO:0046982	GO:0043528; GO:0035657; GO:0005634; GO:0005829
YNR047W	YNR047W_mRNA		protein_coding	+	XIV	protein_coding	Ser/Thr protein kinase; phosphorylates several aminophospholipid translocase family members, regulating phospholipid translocation and membrane asymmetry; phosphorylates and inhibits upstream inhibitory kinase, Ypk1p; localizes to the cytoplasm, early endosome/TGN compartments and thplasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; FPK1 has a paralog, KIN82, that arose from the whole genome duplication [Source:SGD;Acc:S000005330]	708523	711204	0.4087	2682	GO:0061092; GO:0006869; GO:0000749; GO:0035556; GO:0046777; GO:0006468	GO:0004672; GO:0004674; GO:0005524	GO:0043332; GO:0005634; GO:0005737; GO:0005886
YNR048W	YNR048W_mRNA	YNR048W	protein_coding	+	XIV	protein_coding	Potential noncatalytic subunit for phospholipid translocase Dnf3p; YNR048W has a paralog, CDC50, that arose from the whole genome duplication [Source:SGD;Acc:S000005331]	711630	712811	0.412	1182	GO:0045332		GO:0005802; GO:0016020; GO:0016021
YNR049C	YNR049C_mRNA		protein_coding	-	XIV	protein_coding	Lipid-interacting protein in SNARE complex assembly machinery; acts at late step in secretion; interacts with membranes through two distinct binding sites; shows genetic and physical interactions with Sec1p; required for prospore membrane formation during sporulation; N-terminus closely associates with plasma membrane, C-terminus colocalizes with Sec4p on intracellular membranes; relocalizes from bud neck to nucleus upon DNA replication stress [Source:SGD;Acc:S000005332]	713023	713655	0.4408	633	GO:0006904; GO:0015031; GO:0061025; GO:0032120		GO:0033101; GO:0005934; GO:0005935; GO:0031201; GO:0005628; GO:0005886
YNR050C	YNR050C_mRNA	LYS9	protein_coding	-	XIV	protein_coding	Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112 [Source:SGD;Acc:S000005333]	714048	715388	0.4161	1341	GO:0006091; GO:0019878; GO:0055114	GO:0004755; GO:0016491	
YNR051C	YNR051C_mRNA		protein_coding	-	XIV	protein_coding	Ubiquitin protease cofactor; forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A [Source:SGD;Acc:S000005334]	716780	718327	0.3966	1548	GO:2000156; GO:0034517; GO:0060628; GO:0016579	GO:0003676; GO:0042802; GO:0003723	GO:1990861; GO:0000932
YNR052C	YNR052C_mRNA	POP2	protein_coding	-	XIV	protein_coding	RNase of the DEDD superfamily; subunit of the Ccr4-Not complex that mediates 3' to 5' mRNA deadenylation [Source:SGD;Acc:S000005335]	719346	720647	0.4416	1302	GO:0043928; GO:0000289; GO:0017148; GO:0006368; GO:0006357; GO:0032968	GO:0004535; GO:0003676; GO:0000175; GO:0003723; GO:0046872	GO:0030014; GO:0000932; GO:0030015; GO:0005634; GO:0005737
YNR053C	YNR053C_mRNA	NOG2	protein_coding	-	XIV	protein_coding	Putative GTPase; associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation; recruited by ribosomal proteins L17, L35, and L37 to assembling ribosomes after 27SB pre-rRNA is generated, immediately preceding removal of ITS2 [Source:SGD;Acc:S000005336]	721120	723112	0.4155	1461	GO:0000055	GO:0003924; GO:0005525	GO:0005654; GO:0005634; GO:0005730
YNR054C	YNR054C_mRNA	ESF2	protein_coding	-	XIV	protein_coding	Essential nucleolar protein involved in pre-18S rRNA processing; binds to RNA and stimulates ATPase activity of Dbp8; involved in assembly of the small subunit (SSU) processome [Source:SGD;Acc:S000005337]	723356	724306	0.408	951	GO:0034462; GO:0000472; GO:0000480; GO:0000447	GO:0003676; GO:0001671; GO:0003723	GO:0005730
YNR055C	YNR055C_mRNA		protein_coding	-	XIV	protein_coding	Putative transporter in the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; mutations in membrane-spanning domains permit cation and histidinol uptake [Source:SGD;Acc:S000005338]	728426	730186	0.4259	1761	GO:0015850; GO:0006812; GO:0055085	GO:0015665; GO:0022890	GO:0005886; GO:0016021
YNR056C	YNR056C_mRNA		protein_coding	-	XIV	protein_coding	Putative transmembrane protein involved in the biotin biosynthesis; responsible for uptake of 7-keto 8-aminopelargonic acid; BIO5 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis [Source:SGD;Acc:S000005339]	731618	733303	0.4033	1686	GO:0051180; GO:0009102; GO:0055085	GO:0015179; GO:0022857; GO:0015297	GO:0016020; GO:0005887; GO:0005886
YNR057C	YNR057C_mRNA		protein_coding	-	XIV	protein_coding	Dethiobiotin synthetase; catalyzes the third step in the biotin biosynthesis pathway; BIO4 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; BIO3 and BIO4 were acquired by horizontal gene transfer (HGT) from bacteria; expression appears to be repressed at low iron levels [Source:SGD;Acc:S000005340]	733356	734069	0.4594	714	GO:0009102	GO:0004141; GO:0000287; GO:0005524	GO:0005737
YNR058W	YNR058W_mRNA		protein_coding	+	XIV	protein_coding	7,8-diamino-pelargonic acid aminotransferase (DAPA); catalyzes the second step in the biotin biosynthesis pathway; BIO3 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; BIO3 and BIO4 were acquired by horizontal gene transfer (HGT) from bacteria [Source:SGD;Acc:S000005341]	734291	735733	0.4317	1443	GO:0009102	GO:0004015; GO:0008483; GO:0003824; GO:0030170	GO:0005737
YNR059W	YNR059W_mRNA		protein_coding	+	XIV	protein_coding	Putative alpha-1,3-mannosyltransferase; not required for protein O-glycosylation; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively [Source:SGD;Acc:S000005342]	736803	738545	0.3838	1743	GO:0006493; GO:0006486	GO:0016757; GO:0000033	GO:0005794; GO:0016021
YNR060W	YNR060W_mRNA		protein_coding	+	XIV	protein_coding	Ferric reductase; reduces a specific subset of siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels [Source:SGD;Acc:S000005343]	739951	742110	0.3986	2160	GO:0015677; GO:0015891; GO:0055114; GO:0006826; GO:0006879	GO:0052851; GO:0000293; GO:0016491; GO:0046872	GO:0005886; GO:0016021
YNR061C	YNR061C_mRNA		protein_coding	-	XIV	protein_coding	Protein of unknown function; relocalizes from vacuole to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000005344]	742881	743540	0.3818	660			GO:0000324; GO:0005774; GO:0016020; GO:0016021
YNR062C	YNR062C_mRNA		protein_coding	-	XIV	protein_coding	Putative membrane protein of unknown function [Source:SGD;Acc:S000005345]	744360	745343	0.4085	984			GO:0016021
YNR063W	YNR063W_mRNA		protein_coding	+	XIV	protein_coding	Putative zinc-cluster protein of unknown function [Source:SGD;Acc:S000005346]	746943	748766	0.3706	1824	GO:0006355; GO:0006351	GO:0000981; GO:0003677; GO:0008270	GO:0005634
YNR064C	YNR064C_mRNA		protein_coding	-	XIV	protein_coding	Epoxide hydrolase; member of the alpha/beta hydrolase fold family; may have a role in detoxification of epoxides [Source:SGD;Acc:S000005347]	749136	750008	0.4089	873	GO:0009636	GO:0004301; GO:0052689	
YNR065C	YNR065C_mRNA	YNR065C	protein_coding	-	XIV	protein_coding	Protein of unknown function; protein-protein interactions suggest a possible role in actin patch formation; YNR065C is not an essential gene [Source:SGD;Acc:S000005348]	750350	753700	0.3897	3351		GO:0005515	GO:0016021
YNR066C	YNR066C_mRNA		protein_coding	-	XIV	protein_coding	Putative membrane-localized protein of unknown function [Source:SGD;Acc:S000005349]	753725	755035	0.3654	1311		GO:0005515	GO:0016020; GO:0016021
YNR067C	YNR067C_mRNA	DSE4	protein_coding	-	XIV	protein_coding	Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother [Source:SGD;Acc:S000005350]	755746	759099	0.3888	3354	GO:0006076; GO:0000920	GO:0052862; GO:0052861; GO:0042973	GO:0030428; GO:0009277; GO:0009986; GO:0005576
YNR068C	YNR068C_mRNA		protein_coding	-	XIV	protein_coding	Putative protein of unknown function; exhibits homology to C-terminal end of Bul1p; expressed as a readthrough product of BSC5, the readthrough locus being termed BUL3; the BUL3 readthrough product is involved in ubiquitin-mediated sorting of plasma membrane proteins and interacts with WW domains of Rsp5p in vitro, but in a functionally different way than the non-readthrough form [Source:SGD;Acc:S000005351]	760067	760885	0.3565	819	GO:0006513; GO:0000209	GO:0034450	GO:0000151
YNR069C	YNR069C_mRNA		protein_coding	-	XIV	protein_coding	Protein of unknown function; shows homology with N-terminal end of Bul1p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; readthrough expression includes YNR068C and the locus for this readthrough is termed BUL3; Bul3p is involved in ubiquitin-mediated sorting of plasma membrane proteins; readthrough and shortened forms of Bul3p interact with Rsp5p differently in vitro [Source:SGD;Acc:S000005352]	761123	762592	0.4	1470	GO:0006513; GO:0000209	GO:0034450	GO:0000151
